Process with no PCG/ActUnit:
Scenario ; Region ; Process ; PrimaryCG ; Activity Unit 
NewTech_RCA1 ; SI ; C_WSR-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-MPS_-PET ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-OTH_ELEC-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-RF_Refriger-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SC_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_DirectH-GEO ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Cylinder-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_INSTANT-ELC ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_INSTANT-LPG ;  ; PJ
NewTech_RCA1 ; SI ; C_WSR-WH_INSTANT-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPM_-PET ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-MPS_-PET ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-OTH_ELEC-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-RF_Refriger-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SC_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Cylinder-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Instant-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Instant-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OFFC-WH_Instant-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPM_-FOL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPM_-PET ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPS_-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPS_-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPS_-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPS_-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-MPS_-PET ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-OTH_Elec-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SC_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SC_GHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_AirHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Cylinder-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Cylinder-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Cylinder-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_DirectH-GEO ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Instant-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Instant-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_OTH-WH_Instant-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Elements-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Elements-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Elements-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Elements-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Induction-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Ovens-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Ovens-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Ovens-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-CK_Ovens-NGA ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-LT_FLU-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-LT_INC-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-LT_LED-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-MPM_-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-MPM_-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-COA ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-DSL ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-FOL ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-NGA ;  ; PJ
