The following processes has Re-Define across SubRES:
------------------------------------------------
Scenario-Region-Process

NewTransport-KEA ; SI ; T_P_McyICEPET
NewTransport-KEA ; NI ; T_F_HTrFCH2R
NewTransport-KEA ; NI ; T_F_HTrICEDSL
NewTransport-KEA ; NI ; T_F_MTrBEVELC
NewTransport-TUI ; NI ; T_C_CFCH2R
NewTransport-TUI ; NI ; T_C_CHYBDSL
NewTransport-TUI ; NI ; T_C_CHYBPET
NewTransport-TUI ; NI ; T_C_CICEDSL
NewTransport-TUI ; NI ; T_C_CICEPET
NewTransport-TUI ; NI ; T_C_CPHEVDSL
NewTransport-TUI ; NI ; T_C_CPHEVPET
NewTransport-TUI ; NI ; T_F_HTrBEVELC
NewTransport-TUI ; NI ; T_F_HTrFCH2R
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-MTr--ELC
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-MTr--H2R
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-Trac--DSL
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-Trac--ELC
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-Trac--H2R
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-Uti--DSL
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-Uti--ELC
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-Uti--H2R
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Stat-Motor-ELC
NewTech_AGR_KEA ; SI ; AINDC-LIG--ELC
NewTech_AGR_KEA ; SI ; AINDC-SH-Boiler-ELC
NewTech_AGR_KEA ; SI ; AINDC-SH-Boiler-H2R
NewTech_AGR_KEA ; SI ; AINDC-SH-Boiler-WOD
NewTech_AGR_KEA ; SI ; AINDC-SH-HP-ELC
NewTech_AGR_KEA ; SI ; ALIVE-IRG-Irg-ELC
NewTech_AGR_KEA ; SI ; ALIVE-IRG-IrgVSD-ELC
NewTech_AGR_KEA ; SI ; ALIVE-LIG--ELC
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Bike--ELC
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Bike--PET
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-MTr--DSL
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-MTr--ELC
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-MTr--H2R
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Trac--DSL
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Trac--ELC
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Trac--H2R
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Uti--DSL
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Uti--ELC
NewTech_AGR_KEA ; SI ; ALIVE-MoTP-Mob-Uti--H2R
NewTech_AGR_TUI ; NI ; ADCF-IRG-Irg-ELC
NewTech_AGR_TUI ; NI ; ADCF-IRG-IrgVSD-ELC
NewTech_AGR_TUI ; NI ; ADCF-LIG--ELC
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Bike--ELC
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Bike--PET
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-MTr--DSL
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-MTr--ELC
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-MTr--H2R
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Trac--DSL
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Trac--ELC
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Trac--H2R
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Uti--DSL
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Uti--ELC
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Mob-Uti--H2R
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Stat-VacP-ELC
NewTech_AGR_TUI ; NI ; ADCF-MoTP-Stat-VPVSD-ELC
NewTech_AGR_TUI ; NI ; ADCF-PUMP--ELC
NewTech_AGR_TUI ; NI ; ADCF-RFGR--ELC
NewTech_AGR_TUI ; NI ; ADCF-RFGR-HRECSys-ELC
NewTech_AGR_TUI ; NI ; ADCF-WH-Cylinder-ELC
NewTech_AGR_TUI ; NI ; ADCF-WH-Hreco-ELC
NewTech_AGR_TUI ; NI ; AFISH-BOAT-Boat-DSL
NewTech_AGR_TUI ; NI ; AFISH-BOAT-HYBBOAT-DSL
NewTech_AGR_TUI ; NI ; AFISH-LIG--ELC
NewTech_AGR_TUI ; NI ; AFISH-RFGR-RF-ELC
NewTech_AGR_TUI ; NI ; AFORE-LIG--ELC
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Mob-CY--DSL
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Mob-CY--ELC
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Mob-CY--H2R
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Mob-GB--DSL
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Mob-GB--ELC
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Mob-GB--H2R
NewTech_AGR_TUI ; NI ; AFORE-MoTP-Stat--ELC
NewTech_AGR_TUI ; NI ; AHORT-IRG-Irg-ELC
NewTech_AGR_TUI ; NI ; AHORT-IRG-IrgVSD-ELC
NewTech_AGR_TUI ; NI ; AHORT-LIG--ELC
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-MTr--DSL
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-MTr--ELC
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-MTr--H2R
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-Trac--DSL
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-Trac--ELC
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-Trac--H2R
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-Uti--DSL
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-Uti--ELC
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Mob-Uti--H2R
NewTech_AGR_TUI ; NI ; AHORT-MoTP-Stat-Motor-ELC
NewTech_AGR_TUI ; NI ; AINDC-LIG--ELC
NewTech_AGR_TUI ; NI ; AINDC-SH-Boiler-ELC
NewTech_AGR_TUI ; NI ; AINDC-SH-Boiler-H2R
NewTech_AGR_TUI ; NI ; AINDC-SH-Boiler-NGA
NewTech_AGR_TUI ; NI ; AINDC-SH-Boiler-WOD
NewTech_AGR_TUI ; NI ; AINDC-SH-HP-ELC
NewTech_AGR_TUI ; NI ; ALIVE-IRG-Irg-ELC
NewTech_AGR_TUI ; NI ; ALIVE-IRG-IrgVSD-ELC
NewTech_AGR_TUI ; NI ; ALIVE-LIG--ELC
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Bike--ELC
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Bike--PET
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-MTr--DSL
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-MTr--ELC
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-MTr--H2R
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Trac--DSL
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Trac--ELC
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Trac--H2R
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Uti--DSL
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Uti--ELC
NewTech_AGR_TUI ; NI ; ALIVE-MoTP-Mob-Uti--H2R
NewTech_AGR_TUI ; SI ; ADCF-IRG-Irg-ELC
NewTech_AGR_TUI ; SI ; ADCF-IRG-IrgVSD-ELC
